URL,Version,Status,OIDs,Name,Title,Description,Used
https://mos.esante.gouv.fr/NOS/TRE_R213-ModePriseEnCharge/FHIR/TRE-R213-ModePriseEnCharge,20240329120000,active,"1.2.250.1.213.3.3.13",TRE_R213_ModePriseEnCharge,,"Mode de la prise en charge","ValueSet/jdv-ror-mode-prise-en-charge"
https://mos.esante.gouv.fr/NOS/TRE_R227-ChampActivite/FHIR/TRE-R227-ChampActivite,20231215120000,active,"1.2.250.1.213.3.3.17",TRE_R227_ChampActivite,,"Champ d'activité","ValueSet/jdv-ror-champ-activite"
https://mos.esante.gouv.fr/NOS/TRE_R228-UnitePrix/FHIR/TRE-R228-UnitePrix,20231215120000,active,"1.2.250.1.213.3.3.18",TRE_R228_UnitePrix,,"Unité de prix","ValueSet/jdv-ror-unite-prix"
https://mos.esante.gouv.fr/NOS/TRE_R23-ModeExercice/FHIR/TRE-R23-ModeExercice,20231215120000,active,"1.2.250.1.213.1.6.1.18",TRE_R23_ModeExercice,,"Mode d'exercice","ValueSet/jdv-ror-mode-exercice"
https://mos.esante.gouv.fr/NOS/TRE_R236-ModeGestion/FHIR/TRE-R236-ModeGestion,20231215120000,active,"1.2.250.1.213.3.3.23",TRE_R236_ModeGestion,,"Mode gestion","ValueSet/jdv-ror-mode-gestion"
https://mos.esante.gouv.fr/NOS/TRE_R238-OuvertureAnnuelle/FHIR/TRE-R238-OuvertureAnnuelle,20231215120000,active,"1.2.250.1.213.3.3.27",TRE_R238_OuvertureAnnuelle,,"Ouverture annuelle","ValueSet/jdv-ror-ouverture-annuelle"
https://mos.esante.gouv.fr/NOS/TRE_R239-PublicPrisEnCharge/FHIR/TRE-R239-PublicPrisEnCharge,20250328120000,active,"1.2.250.1.213.3.3.29",TRE_R239_PublicPrisEnCharge,,"Public pris en charge","ValueSet/jdv-ror-public-pris-en-charge"
https://mos.esante.gouv.fr/NOS/TRE_R240-TemporaliteAccueil/FHIR/TRE-R240-TemporaliteAccueil,20231215120000,active,"1.2.250.1.213.3.3.31",TRE_R240_TemporaliteAccueil,,"Temporalité accueil","ValueSet/jdv-ror-temporalite-accueil"
https://mos.esante.gouv.fr/NOS/TRE_R241-AideFinanciere/FHIR/TRE-R241-AideFinanciere,20231215120000,active,"1.2.250.1.213.3.3.33",TRE_R241_AideFinanciere,,"Habilit. de l'EG permettant aux pers. accueillies d'avoir des aides financières","ValueSet/jdv-ror-aide-financiere"
https://mos.esante.gouv.fr/NOS/TRE_R242-TypeHabitation/FHIR/TRE-R242-TypeHabitation,20231215120000,active,"1.2.250.1.213.3.3.35",TRE_R242_TypeHabitation,,"Type habitation","ValueSet/jdv-ror-type-habitation"
